会社名,住所,電話番号
鴻華園,兵庫県神戸市中央区 中山手通2-21-12,078-231-7079
新愛園,兵庫県神戸市中央区 北長狭通3-2-10,078-331-0924
中国酒家 トアロード店,兵庫県神戸市中央区 北長狭通3-12-1,078-391-5537
梅春園,兵庫県神戸市中央区 北長狭通1-10-10,078-321-6736
福興禄飯店,兵庫県神戸市中央区 小野柄通6-1-5,078-271-2898
平和,兵庫県神戸市中央区 北長狭通2-31-43,078-391-0554
皆様食堂,兵庫県神戸市中央区 北長狭通1-30-39,078-391-1172
くに弥,兵庫県神戸市中央区 北長狭通1-21-13,078-332-0865
淡路,兵庫県神戸市中央区 下山手通5-12-9,078-371-0189
魚菜 きし,兵庫県神戸市中央区 中山手通3-10-11,078-222-7255
日本料理 西嬉,兵庫県神戸市中央区 中山手通1-20-3,078-242-0550
ピノッキオ,兵庫県神戸市中央区 中山手通2-3-13,078-331-3330
寿司 伊賀富,兵庫県神戸市中央区 下山手通8-20-11,078-341-2846
源平寿司 本店,兵庫県神戸市中央区 北長狭通2-1-8,078-331-6733
佐津満鮨,兵庫県神戸市中央区 中山手通1-7-12,078-332-1114
寿志一慶,兵庫県神戸市中央区 北長狭通2-9-8,078-333-1133
鮨花ごよみ,兵庫県神戸市中央区 北長狭通2-8-12,078-331-0025
すし久,兵庫県神戸市中央区 中山手通4-10-23,078-221-9528
清やん,兵庫県神戸市中央区 北長狭通2-6-15,078-331-8060
鯛すし,兵庫県神戸市中央区 中山手通1-5-14,078-331-2111
宝寿司 生田筋店,兵庫県神戸市中央区 北長狭通1-31-38,078-331-1355
伏見,兵庫県神戸市中央区 下山手通4-10-7,078-334-3243
八作寿司,兵庫県神戸市中央区 北長狭通1-31-15,078-321-2539
ボンマリアージュ,兵庫県神戸市中央区 中山手通1-2-4,078-333-1908
ダイニングオードリー,兵庫県神戸市中央区 中山手通1-10-10,078-392-0230
すやま,兵庫県神戸市中央区 中山手通1-16-12,078-322-1544
神戸パリ食堂,兵庫県神戸市中央区 中山手通1-8-1,078-321-3963
メルメルカフェ,兵庫県神戸市中央区 下山手通5-12-2,078-362-8639
魚介処元,兵庫県神戸市中央区 中山手通1-6-5,078-321-1533
室住,兵庫県神戸市中央区 北長狭通3-10-1,078-322-2272
ウェザーコック,兵庫県神戸市中央区 下山手通2-13-13,078-391-5959
炭焼 榮太郎,兵庫県神戸市中央区 下山手通1-1-6,078-331-7628
岡ちゃん,兵庫県神戸市中央区 北長狭通4-1-4,078-391-1213
新政,兵庫県神戸市中央区 下山手通2-1-1,078-333-1601
鳥っぷ,兵庫県神戸市中央区 中山手通1-15-2,078-331-5667
とり好,兵庫県神戸市中央区 北長狭通7-1-12,078-341-0081
南天,兵庫県神戸市中央区 中山手通1-4-14,078-391-3588
花房,兵庫県神戸市中央区 中山手通1-4-11,078-321-1246
骨付地鶏 炭焼 日向 本店,兵庫県神戸市中央区 北長狭通1-7-1,078-332-3020
八栄亭,兵庫県神戸市中央区 中山手通1-9-4,078-391-0989
焼き鳥中森,兵庫県神戸市中央区 北長狭通1-20-9,078-331-5300
炭火焼肉 安部え,兵庫県神戸市中央区 三宮町1-8-1 さんプラザ,078-331-5935
森井本店,兵庫県神戸市中央区 北長狭通2-31-42,078-331-5071
STEAK AOYAMA,兵庫県神戸市中央区 下山手通2-14-5,078-391-4858
浦江亭 元町店,兵庫県神戸市中央区 北長狭通4-2-1,078-321-2228
Wing,兵庫県神戸市中央区 三宮町1-4-23 B1,078-334-1343
喫茶ニューロード,兵庫県神戸市中央区 下山手通3-2-14,078-333-6721
キッサマルコ,兵庫県神戸市中央区 下山手通8-9-2,078-341-2871
キトラ,兵庫県神戸市中央区 下山手通5-9-1,078-371-2999
こやま,兵庫県神戸市中央区 下山手通8-15-1,078-361-7540
サマンサ,兵庫県神戸市中央区 北長狭通1-31-12,078-331-7977
サンライト,兵庫県神戸市中央区 南本町通6-3-17 128,078-231-0253
シャトー,兵庫県神戸市中央区 中山手通7-20-12,078-371-3388
シルビア,兵庫県神戸市中央区 北長狭通3-3-3,078-321-1237
世紀珈琲館,兵庫県神戸市中央区 神若通5-1-11,078-242-8211
ティーズカフェ（t’scafe）,兵庫県神戸市中央区 御幸通3-2-14 103,078-252-5733
Th cafe,兵庫県神戸市中央区 下山手通5-12-15,078-367-5488
ハーベストムーン,兵庫県神戸市中央区 下山手通5-8-14,078-360-1177
ピヨ,兵庫県神戸市中央区 北長狭通5-3-9,078-351-6750
フレンド,兵庫県神戸市中央区 北長狭通8-7-10,078-361-1026
BON,兵庫県神戸市中央区 北長狭通7-2-21,078-341-0343
みのい珈琲店,兵庫県神戸市中央区 北長狭通5-3-9,078-351-3233
リノ,兵庫県神戸市中央区 北長狭通1-4-11,078-332-4436
り凡,兵庫県神戸市中央区 小野柄通3-1-26,078-251-7899
御影ダンケ 元町店,兵庫県神戸市中央区 下山手通3-6-7,078-331-0021
Cafe＆Bar＆Gallery en＋,兵庫県神戸市中央区 北長狭通2-31-49,078-334-1166
まるだい,兵庫県神戸市中央区 北長狭通1-20-10,078-321-3039
冨美や,兵庫県神戸市中央区 下山手通5-8-14,078-360-3338
順徳,兵庫県神戸市中央区 北長狭通3-4-7,078-331-5320
笑い釜,兵庫県神戸市中央区 北長狭通2-5-17,078-333-1187
街屋,兵庫県神戸市中央区 北長狭通2-3-7,078-332-3933
みみみ堂,兵庫県神戸市中央区 下山手通4-14-1,078-764-5333
Fruit Cafe Saita！ Saita！,兵庫県神戸市中央区 相生町1-1-15 1F,078-362-6737
ダイニング的,兵庫県神戸市中央区 中山手通1-17-6,078-391-7885
季節料理 みゆき,兵庫県神戸市中央区 下山手通7-3-12,078-341-0384
紀州備長炭炭火焼肉 金泉苑,兵庫県神戸市中央区 中山手通1-9-17,078-331-2052
公楽,兵庫県神戸市中央区 北長狭通8-8-11,078-341-1406
赤天狗,兵庫県神戸市中央区 北長狭通4-1-14,078-392-4567
BAR CAMINO,兵庫県神戸市中央区 中山手通1-7-17,078-333-0139
Nyu’s Bar,兵庫県神戸市中央区 中山手通2-13-8,078-241-1688
どうらくや,兵庫県神戸市中央区 中山手通1-17-16,078-331-7272
たこ焼き たちばな さんプラザ店,兵庫県神戸市中央区 三宮町1-8-1 さんプラザ,078-391-3793
台湾料理 金山園,兵庫県神戸市中央区 中山手通1-9-5,078-331-2372
盛段,兵庫県神戸市中央区 北長狭通2-8-11,078-393-2662
LEEWAY Cafe,兵庫県神戸市中央区 北長狭通3-4-3,078-331-4686
どん兵衛,兵庫県神戸市中央区 北長狭通1-21-15,078-331-2377
Elixir de Longue Vie,兵庫県神戸市中央区 中山手通1-3-5,078-392-7210
れてぃしあ,兵庫県神戸市中央区 北長狭通1-9-17,078-331-5089
まつば,兵庫県神戸市中央区 北長狭通1-5-5,078-331-0776
アールティーズインディアンカフェ アールティー下山手 県庁前店,兵庫県神戸市中央区 下山手通5-12-9,078-371-7588
珈琲館 春日野道店,兵庫県神戸市中央区 筒井町3-17-4 メゾンドアクトゥール101,078-261-3690
ラーメン 三七十家,兵庫県神戸市中央区 中山手通3-2-1,078-392-3710
たこ焼き焔,兵庫県神戸市中央区 中山手通1-12-4,078-333-7822
ばんどう,兵庫県神戸市中央区 北長狭通1-10-12,078-333-1833
SLICE BAR,兵庫県神戸市中央区 中山手通2-13-8,078-221-2666
えん,兵庫県神戸市中央区 中山手通1-27-10,078-242-0789
食堂さいころ,兵庫県神戸市中央区 北長狭通7-1-10,078-362-1101
麺花 ゆうしょう,兵庫県神戸市中央区 中山手通4-2-3,078-321-5345
ヨムパン,兵庫県神戸市中央区 北長狭通7-1-14,078-371-1289
スペイン料理 コメドールエステラ,兵庫県神戸市中央区 中山手通4-16-14,078-271-1203
BAR ASOKO,兵庫県神戸市中央区 下山手通2-14-11,078-332-1928
三豊麺 三宮店,兵庫県神戸市中央区 北長狭通1-2-13,078-321-1122
酒之灘屋,兵庫県神戸市中央区 北長狭通8-1-1,078-341-6395
トラッドカフェ,兵庫県神戸市中央区 北長狭通5-4-5,078-360-2221
マウンテンコーヒー 三宮センター街店,兵庫県神戸市中央区 三宮町2-10-26 B1,078-391-0669
ステーキランド つるうし館,兵庫県神戸市中央区 北長狭通1-9-17,078-332-2900
しょうき 三宮店,兵庫県神戸市中央区 中山手通1-9-18,078-321-3858
蘭引,兵庫県神戸市中央区 北長狭通4-1-14,078-391-6695
Marman,兵庫県神戸市中央区 中山手通2-18-9,078-855-2332
Cafe＆bar Silky Moment,兵庫県神戸市中央区 北長狭通1-9-10,078-335-5554
中国料理 老友酒家,兵庫県神戸市中央区 京町79 日本ビルヂングB1,078-381-7886
BAR Henri,兵庫県神戸市中央区 中山手通2-16-3,078-272-1963
ばく珈琲彩食 古陶,兵庫県神戸市中央区 下山手通4-7-13,078-333-0911
音音,兵庫県神戸市中央区 中山手通1-25-21,078-221-7811
ANTIQUE＋CAFE La Paix des Bois,兵庫県神戸市中央区 北野町3-1-27 1F,078-251-7022
たまい,兵庫県神戸市中央区 北長狭通2-31-53,078-321-2336
すいらて,兵庫県神戸市中央区 北長狭通7-1-24,078-335-6646
スターバックスコーヒー 神戸ハーバーランドumie店,兵庫県神戸市中央区 東川崎町1-7-2 A201,078-360-8102
かしわ屋,兵庫県神戸市中央区 中山手通1-7-6,078-332-7768
ステーキハウス ミディアムレア,兵庫県神戸市中央区 京町25 ORIENTAL HOTEL17F,078-326-1577
ザ バー ジェイダブリューハート,兵庫県神戸市中央区 京町25 ORIENTAL HOTEL17F,078-326-1577
おぱ家,兵庫県神戸市中央区 下山手通1-4-8,078-332-5166
DAIRIN,兵庫県神戸市中央区 中山手通1-14-3,078-393-5013
Bowls Kitchen,兵庫県神戸市中央区 北長狭通1-31-14,078-391-5388
ラッセホール レストラン リビエラ,兵庫県神戸市中央区 中山手通4-10-8,078-291-1311
神戸サムギョプサル,兵庫県神戸市中央区 下山手通4-14-3,078-321-7233
串カツ バル 真心,兵庫県神戸市中央区 北長狭通2-8-3,078-391-5552
洋食のマルヤ 西元町,兵庫県神戸市中央区 北長狭通8-1-6,078-371-5252
BRASSERIE L’OBABON （ブラッスリー ロバボン）,兵庫県神戸市中央区 中山手通1-27-11,078-381-6469
鉄板 お好み焼き みんと,兵庫県神戸市中央区 北長狭通7-1-15,078-371-1572
炭火焼肉 味楽亭,兵庫県神戸市中央区 中山手通2-13-12,078-241-2818
Cafe＆Meal MUJI 神戸BAL,兵庫県神戸市中央区 三宮町3-6-1 6F,078-335-2675
フランツ カフェ,兵庫県神戸市中央区 東川崎町1-6-1 3F,078-360-0107
ニケ,兵庫県神戸市中央区 中山手通2-3-7,078-201-7971
花太鼓,兵庫県神戸市中央区 神若通3-3-11,078-241-4529
もくもく,兵庫県神戸市中央区 中山手通1-13-6,078-381-8787
割烹 つち屋,兵庫県神戸市中央区 北長狭通2-11-5,078-391-1440
酒房 大関,兵庫県神戸市中央区 下山手通8-1-8,078-371-5857
串カツのこのこ,兵庫県神戸市中央区 下山手通1-3-2,078-321-7752
Tetto,兵庫県神戸市中央区 北長狭通1-3-12,078-333-8181
杏杏,兵庫県神戸市中央区 下山手通4-13-14,078-322-3339
きりゅう,兵庫県神戸市中央区 加納町4-5-13 2F,078-332-7558
茜屋珈琲店 神戸三宮,兵庫県神戸市中央区 北長狭通1-9-4,078-331-8884
欧風料理 もん,兵庫県神戸市中央区 北長狭通2-12-12,078-331-0372
青葉,兵庫県神戸市中央区 北長狭通3-4-8,078-391-5351
あさくら,兵庫県神戸市中央区 中山手通1-7-16,078-391-5503
いかりや,兵庫県神戸市中央区 北長狭通1-21-15,078-331-4161
酒肆大関,兵庫県神戸市中央区 下山手通1-5-4,078-332-0090
赤萬,兵庫県神戸市中央区 北長狭通2-2-1,078-331-0831
Main Dining by THE HOUSE OF PACIFIC ORIENTAL HOTEL,兵庫県神戸市中央区 京町25 ORIENTAL HOTEL17F,078-326-1577
Ryu’zDINING,兵庫県神戸市中央区 加納町4-6-5 ロイヤルビル601,078-599-9117
神戸十番,兵庫県神戸市中央区 琴ノ緒町4-1-396 2F,078-252-4554
鮨 島本,兵庫県神戸市中央区 下山手通3-7-9,078-335-2322
紅宝石,兵庫県神戸市中央区 下山手通3-5-9,078-331-6162
オカダ食品株式会社,兵庫県神戸市中央区 楠町1-3-10 2F,078-341-0029
賀正軒 三宮店,兵庫県神戸市中央区 北長狭通1-9-4,078-392-1052
ひよこ,兵庫県神戸市中央区 中山手通1-2-13,078-599-5269
Mirabelle,兵庫県神戸市中央区 中山手通6-6-7,078-599-8171
SATURDAYS SURF NYC KOBE,兵庫県神戸市中央区 京町78 神戸パナソニックビル 1F,078-381-7450
秀寿し,兵庫県神戸市中央区 中山手通1-6-8,078-322-3939
お好み焼・鉄板焼 つや,兵庫県神戸市中央区 中山手通1-16-12,078-391-1557
BAR＆RESTAURANT オールドイングランド,兵庫県神戸市中央区 中山手通1-13-7,078-392-7033
回ノ足跡,兵庫県神戸市中央区 北長狭通2-10-9,078-322-1789
伊藤勝商店,兵庫県神戸市中央区 北長狭通2-10-9,078-331-1731
ラスティックハウス デリアール,兵庫県神戸市中央区 北長狭通5-4-2,078-360-2333
珈琲館,兵庫県神戸市中央区 相生町4-4-17 1F,078-382-0177
寿司 ごしま,兵庫県神戸市中央区 北長狭通2-3-10,078-321-3233
串カツ田中 三宮店,兵庫県神戸市中央区 北長狭通2-10-12,078-599-8140
神戸灘八 本店,兵庫県神戸市中央区 北長狭通2-1-3,078-381-9577
KOBE海鮮酒場 Uo魚,兵庫県神戸市中央区 北長狭通2-31-65,078-392-3933
中華料理 張記,兵庫県神戸市中央区 北長狭通3-1-1,078-515-6566
ステラ,兵庫県神戸市中央区 中山手通1-16-12,078-331-1232
お好み焼き 鉄板焼き てこいち 十年屋 三宮店,兵庫県神戸市中央区 北長狭通2-11-1,078-391-0375
ひょうご共済会館 レストランあじさい,兵庫県神戸市中央区 中山手通4-17-13,078-222-2600
酒食しもかわ,兵庫県神戸市中央区 中山手通1-9-14,078-335-6669
Trattoria Stella,兵庫県神戸市中央区 下山手通8-7-23,078-371-3233
mikumi 季節の野菜とおつまみごはん,兵庫県神戸市中央区 筒井町3-17-7 1F,078-242-5008
La La Chance RESTAURANT,兵庫県神戸市中央区 港島1-116 ララシャンスKOBE内,0120-731-711
串かつの店 かっちゃん,兵庫県神戸市中央区 北長狭通1-3-14,078-332-2994
串家 古東,兵庫県神戸市中央区 下山手通4-1-19,078-331-9494
一宗,兵庫県神戸市中央区 中山手通2-12-3,078-242-0889
アリストンホテル神戸,兵庫県神戸市中央区 港島中町6-1 アリストンホテル神戸,078-303-5555
Foodie,兵庫県神戸市中央区 中山手通4-11-22,078-221-8434
Fusible,兵庫県神戸市中央区 北長狭通5-1-13,050-3204-3196
吉訪,兵庫県神戸市中央区 加納町4-9-12 2F,078-393-8003
薪火と熟成神戸牛 Vesta,兵庫県神戸市中央区 下山手通2-12-16,078-335-0107
与太呂 神戸店,兵庫県神戸市中央区 明石町40 大丸神戸店9F,078-322-0089
西洋料理 神戸開花亭 神戸大丸店,兵庫県神戸市中央区 明石町40 大丸神戸店9F,078-321-1838
かばぶ,兵庫県神戸市中央区中山手通1-4-12 ダイヤモンドビル1F,078-322-0870
神戸 和食 あんど,兵庫県神戸市中央区下山手通2-10-4 シンミチビル5F,078-333-1820
神戸旧居留地VILLA BLANCHE 〜ヴィラブランシュ〜,兵庫県神戸市中央区加納町6-4-1 東遊園地内,078-332-7888
地鶏 安東,兵庫県神戸市中央区北長狭通1-3-12 オレゴンビル2F,078-332-6313
雪月花 炭火焼,兵庫県神戸市中央区加納町4-8-19 パルファンビル2F,078-333-5029
ファルピッテ,兵庫県神戸市中央区磯上通8-1-13 建信ビル,078-252-7123
松屋 三宮東店,兵庫県神戸市中央区雲井通5-2-18 サンパルビル1F,078-230-0310
江戸川 大丸神戸店,兵庫県神戸市中央区明石町40 大丸神戸店9F,078-381-8056
ニューミュンヘン ハーフェンブルク,兵庫県神戸市中央区東川崎町1-6-1 モザイク3F,078-360-0770
和どん2 三ノ宮店,兵庫県神戸市中央区北長狭通1-9-10 プリンセスコートビル6F,078-392-8929
活 伊勢海老料理 中納言 神戸ハーバーランド店,兵庫県神戸市中央区東川崎町1-6-1 モザイク3F,078-360-1788
こなな 三宮店,兵庫県神戸市中央区三宮町1-8-1 サンプラザB1,078-599-6313
神戸ブランド亭 モザイク店,兵庫県神戸市中央区東川崎町1-6-1 モザイク2F,078-360-1516
TOUFU－DINING 大豆屋,兵庫県神戸市中央区加納町4-7-20 イーグルビルB1,078-333-4388
FARM TO TABLE「KANBE」,兵庫県神戸市中央区北長狭通2-5-1 タイシンサンセットビル7F,080-6229-7237
神戸ハーバーランド 三田屋,兵庫県神戸市中央区東川崎町1-6-1 モザイク3F,078-360-2900
つどい居酒屋 ふくふく,兵庫県神戸市中央区加納町4-9-29 エステートビルB1,078-321-5565
神戸牛ステーキ鉄板焼 雪月花,兵庫県神戸市中央区北長狭通1-9-3 レインボープラザビル8F,078-333-7080
Japanese Bal朔 〜SAKU〜,兵庫県神戸市中央区琴ノ緒町4-3-1 ヤナイビル1F,078-200-5799
磯丸水産 三宮生田ロード店,兵庫県神戸市中央区北長狭通1-9-8 クイーンズコーストビル1F,078-391-1530
瀬戸内鮮魚と兵庫のうまいもん ふくみみDining 三宮,兵庫県神戸市中央区北長狭通2-11-5 グランドコーストビル7F,078-391-0176
和さび,兵庫県神戸市中央区相生町4-4-18 マスヤビル1F,078-366-0005
松屋 神戸元町店,兵庫県神戸市中央区元町通2-8-14 オルタンシアビル1F,078-325-3256
創作中華＆夜景 神天樓 神戸ハーバーランド,兵庫県神戸市中央区東川崎町1-5-7 カルメニ18F,078-366-3817
旨タレ屋,兵庫県神戸市中央区北長狭通1-31-28 JR高架下,078-332-7133
海鮮屋台 おくまん 神戸三宮店,兵庫県神戸市中央区北長狭通1-21-5 コペンビル1F,078-331-6006
おうみや,兵庫県神戸市中央区琴ノ緒町4-10-3 高架下401,078-221-2254
おうみや 駅前店,兵庫県神戸市中央区琴ノ緒町5-3-5 グリーンシャポービル1F,078-221-3115
神戸 三宮 スペインバル Eng,兵庫県神戸市中央区北長狭通2-10-1 サニーヒルビル1F,078-334-7334
KOBE YAKITORI STAND 野乃鳥,兵庫県神戸市中央区北長狭通1-1-1 EKIZO神戸三宮,078-321-7341
地鶏専門 たか鳥 神戸三宮店,兵庫県神戸市中央区北長狭通2-11-5 グランドコーストビル1F,078-391-4649
TOOTH TOOTH 凸凹茶房,兵庫県神戸市中央区京町24 神戸市立博物館,078-515-6462
神戸牛 八坐和 阪急三宮店,兵庫県神戸市中央区北長狭通1-6-1 ASA三宮ビル,078-322-0830
韓国料理 サムギョプサル食べ放題 韓辛デリ 神戸三宮生田ロード店,兵庫県神戸市中央区北長狭通1-9-11 コーストフロムビルB1,078-322-0290
グリル異人館 JR東口店,兵庫県神戸市中央区琴ノ緒町5-2-3 アルプスビルB1,078-862-5830
神戸牛・個室焼肉 大長今－techangum－ 三宮トアロード店,兵庫県神戸市中央区北長狭通2-6-6 ヤナセビル1F,078-392-0218
神戸牛・個室焼肉 大長今天空－techangum－ 三宮生田ロード店,兵庫県神戸市中央区北長狭通1-9-8 クイーンズコーストビル8F,078-333-8025
サイゼリヤ 神戸ハーバーランドセンタービル店,兵庫県神戸市中央区東川崎町1-3-3 ハーバーランドセンタービルB1,078-366-6366
餃子の王将 三ノ宮東店,兵庫県神戸市中央区琴ノ緒町4-6-5 ターミナルハイツ102,078-261-0182
餃子の王将 生田川店,兵庫県神戸市中央区浜辺通1-1-18 スカイヤードビル1F,078-242-3126
囲炉裏焼き 大正ろまん まりも亭,兵庫県神戸市中央区北長狭通2-5-1 タイシンサンセットビル3F,078-332-2227
まりも亭 離れ座敷,兵庫県神戸市中央区北長狭通2-5-1 タイシンサンセットビル3F,078-332-2227
和食 鍋料理 一華庵,兵庫県神戸市中央区花隈町3-12 エステート花隈1F,078-945-8889
はちきん,兵庫県神戸市中央区中山手通1-4-5 サヴウエイサイドビルB1,078-392-0021
魚酒場 壱刻 〜ひととき〜 三宮店,兵庫県神戸市中央区下山手通2-10-8 プチビル2Ｆ,078-321-5892
らーめん 熊五郎 さんプラザ本店,兵庫県神戸市中央区三宮町1-8-1 サンプラザ1F,078-391-3773
三宮 バー・パブ BAR HOOCH（バー フーチ）,兵庫県神戸市中央区加納町4-7-1 ウッディタウンビル2F,078-334-7757
三宮 個室・地鶏・地酒 絆 ーKIZUNAー,兵庫県神戸市中央区北長狭通1-9-1 コトブキチソウビル6F,078-326-3532
三宮 夜景リゾートビアガーデン GARDEN,兵庫県神戸市中央区北長狭通1-10-6 ムーンライトビル5F,078-515-6220
三宮 個室 熟成魚VS熟成肉 ジパング,兵庫県神戸市中央区北長狭通1-9-1 コトブキチソウビル6F,078-326-3530
三ノ宮焼肉 双葉,兵庫県神戸市中央区北長狭通1-9-3 レインボープラザビル5F,078-335-1725
焼き鳥 ひよこ,兵庫県神戸市中央区中山手通1-6-7 マミークィーンビルB1,078-599-6420
和懐食 かなやま,兵庫県神戸市中央区中山手通1-9-11 パインビル2F,078-393-1566
鶏匠 吟八 東門店,兵庫県神戸市中央区中山手通1-5-4 ミナトビルB1,078-332-3333
詩鶏 神戸三宮,兵庫県神戸市中央区北長狭通1-2-13 ニューリッチビル9F,078-392-3828
Bar やどりぎ’ん,兵庫県神戸市中央区北長狭通1-2-13 ニューリッチビル6F,078-515-6336
唐味粋,兵庫県神戸市中央区下山手通2-12-7 サンロードビル1F,078-321-2989
丸亀製麺 さんプラザ店,兵庫県神戸市中央区三宮町1-8-1 サンプラザB1,078-331-2655
神戸たん龍 生田新道店,兵庫県神戸市中央区中山手通1-1-1 ロンロンビル1F,078-331-8770
Osteria Calimero,兵庫県神戸市中央区北長狭通3-12-10 ループトアウエスト3F,078-334-7155
インド料理 シャンカル 神戸三宮,兵庫県神戸市中央区加納町6-6-2 ハニービルB2,078-334-6366
豊福,兵庫県神戸市中央区花隈町23-18 豊福ビル1F,078-341-5722
凡 元町本店,兵庫県神戸市中央区元町通3-9-23 ナカシンビル2F,078-332-2036
Food Bar トンボ,兵庫県神戸市中央区北長狭通3-8-1 アライビル1F,078-325-2939
鮨 双海,兵庫県神戸市中央区北長狭通1-7-4 ホワイトローズビル6F,078-945-8511
MOKUBA’S TAVERN（木馬）,兵庫県神戸市中央区北長狭通3-12-14 ザ・ベガ・トアロード1F,078-391-2505
M’s plate,兵庫県神戸市中央区下山手通3-2-6 NANSEI1F,078-335-5699
完全個室 串揚げと肉魚料理 たか串 三宮店,兵庫県神戸市中央区北長狭通1-8-1 コスモビル3F,080-5261-3239
アールティ 北野ハンター坂,兵庫県神戸市中央区中山手通2-14-13 ハンタービル1F,078-222-8665
まめや 元町店,兵庫県神戸市中央区元町通2-3-2 ジェムビルB1,078-945-8376
喜羊羊火鍋,兵庫県神戸市中央区北長狭通1-2-13 ニューリッチビル10F,078-599-5507
B－GARAGE 三宮生田ロード店,兵庫県神戸市中央区北長狭通2-12-13 キングコーストビル1F,078-325-5753
ESPICE,兵庫県神戸市中央区中山手通2-3-25 メゾンエスプリ生田,078-333-1919
やよい軒 神戸元町店,兵庫県神戸市中央区元町通2-8-14 オルタンシアビル1F,078-335-0685
生付き750円飲み放題 おでんと串 個室酒場 だるま商店 三宮店,兵庫県神戸市中央区北長狭通1-9-3 レインボープラザビルB1,080-4774-5452
CHILLAX,兵庫県神戸市中央区中山手通1-3-10 ローズプラザビル2F,078-322-0044
肉ト魚と、おでん。 個室居酒屋 幻 神戸三宮店,兵庫県神戸市中央区北長狭通1-7-4 ホワイトローズビル5F,080-9640-0714
焼肉裏松 三宮店,兵庫県神戸市中央区中山手通1-14-2 マリンビル1F,078-977-7157
BAR SAKURA,兵庫県神戸市中央区北長狭通2-5-1 タイシンサンセットビル4F,080-9760-3591
とり福,兵庫県神戸市中央区中山手通1-9-7 ロックバレービル1F,078-958-7477
シーシャ カフェ＆バー C．STAND（シースタンド）神戸三宮店,兵庫県神戸市中央区北長狭通1-2-2 キャラバンビル3F,078-954-6633
磯料理 安さん 神戸大丸店,兵庫県神戸市中央区明石町40 大丸神戸店9F,078-321-1820
マジックバーなんで屋！？,兵庫県神戸市中央区下山手通2-17-10 ライオンビル三宮館,078-945-8060
個室 神戸焼肉×食べ放題専門店 肉丸 にくまる 三宮本店,兵庫県神戸市中央区北長狭通1-9-8 クイーンズコーストビルB1,080-2116-7961
肉たらし 三宮,兵庫県神戸市中央区北長狭通1-9-8 クイーンズコーストビル4F,080-2515-1629
京甘味 文の助茶屋 大丸神戸店,兵庫県神戸市中央区 明石町40 大丸神戸店8F,078-333-2249
上島珈琲店 神戸空港店,兵庫県神戸市中央区 神戸空港1 空港ターミナルビル3F,078-306-3977
エクセルシオール カフェ デュオこうべ店,兵庫県神戸市中央区 東川崎町1-2-3 デュオこうべ内,078-351-2932
カフェラ 大丸神戸店,兵庫県神戸市中央区 明石町40 大丸神戸店1F,078-392-7227
フランジュール 神戸店,兵庫県神戸市中央区 三宮町2-5-6 フランジュールビル3F,078-325-2522
ナーン イン,兵庫県神戸市中央区 山本通3-1-2 1F,078-242-8771
OSTIA FOOD＆DRINK,兵庫県神戸市中央区 波止場町2-2 メリケンパーク内,078-322-0690
スターバックスコーヒー 神戸旧居留地店,兵庫県神戸市中央区 栄町通1-2-1 MRSXビル,078-392-3107
スターバックスコーヒー 三宮ダイエー店,兵庫県神戸市中央区 雲井通6-1-15 三宮ダイエー,078-241-6715
はなかるた,兵庫県神戸市中央区 加納町4-6-4 ビクトリービル1F,078-391-2312
炭火焼肉 将軍,兵庫県神戸市中央区 中山手通2-12-10 103,078-242-4129
ブラジリアーノ,兵庫県神戸市中央区 東川崎町1-6-1 モザイク3F,078-360-2996
ビストロ・ド・プロバンス,兵庫県神戸市中央区 花隈町24-17 大建ビル1Ｆ,078-362-5450
スターバックス コーヒー 三宮磯上通店,兵庫県神戸市中央区 磯上通7-1-19 PROGRESS KOBE,078-230-0033
喫茶館 英国屋 大丸神戸店,兵庫県神戸市中央区 明石町40 大丸神戸店6F,078-333-4078
一番鳥,兵庫県神戸市中央区 雲井通1-1-1 1F,078-252-4091
酒房灘 さんプラザ店,兵庫県神戸市中央区 三宮町1-8-1 サンプラザB1,078-391-1541
cafe ゆとりの空間 share with 栗原はるみ 大丸神戸店,兵庫県神戸市中央区 明石町40 大丸神戸店7F,078-393-0096
てつ 三宮店,兵庫県神戸市中央区 琴ノ緒町5-4-14 オリオンビル1F,078-251-6663
ガネーシャ ガル,兵庫県神戸市中央区 北野町3-2-4 アニルドマンション 1F,078-271-1181
SANSARO,兵庫県神戸市中央区 中山手通1-16-12 112,078-333-8063
Namaste Taj Mahal 新神戸店,兵庫県神戸市中央区 北野町1 新神戸オリエンタルアベニュー2F,078-261-2810
北海らーめん 沙蘭辺 さんちか店,兵庫県神戸市中央区 三宮町1-10-1 さんちかタウン,078-392-1668
酒・肴 才谷梅太郎 サンプラザ店,兵庫県神戸市中央区 三宮町1-8-1 サンプラザB1,078-391-3536
三ノ宮サンプラザ RYU-RYU,兵庫県神戸市中央区 三宮町1-8-1 サンプラザビルB1,078-392-2576
神戸 三宮駅 お好み焼き さんぺい,兵庫県神戸市中央区 琴ノ緒町4-7-9 関西ビル102,078-251-2620
UCCカフェプラザ デュオ神戸店,兵庫県神戸市中央区 相生町3-2-1 デュオ神戸内,078-351-6078
アフタヌーンティー ティールーム 神戸大丸店,兵庫県神戸市中央区 明石町40 大丸神戸店5F,078-331-8446
1stfly,兵庫県神戸市中央区 加納町4-6-11 マスターズビル7F,078-333-5329
バー ローハイド,兵庫県神戸市中央区 琴ノ緒町5-3-5 グリーンシャポービルB1,078-222-4054
