会社名,住所,電話番号
おいしい笑顔鳥ぷろ イオンモール京都五条店,京都府京都市右京区西院追分町２５−１,075-925-5966
まつもと寿し,京都府京都市右京区嵯峨野秋街道町１１−４４,075-871-0797
そば処いさむ,京都府京都市右京区西院矢掛町２９−１５,075-314-4098
あわ津,京都府京都市右京区花園寺ノ前町４５−１,075-463-7070
アンナマリア,京都府京都市右京区嵯峨天龍寺北造路町１３,075-871-5087
猪丸,京都府京都市右京区太秦桂木町５−１,075-871-3384
カラオケ喫茶＆スナック愛歌,京都府京都市右京区太秦東蜂岡町９−３１,075-861-7778
三喜屋珈琲株式会社,京都府京都市右京区太秦唐渡町２２−１１,075-882-6991
モニＣａｆｅ,京都府京都市右京区西院高山寺町１２−１２,075-322-1501
ニコニコキッチン 京都西店,京都府京都市右京区山ノ内宮前町２５−６,075-823-7005
デリカキッチン イオンモール京都五条店,京都府京都市右京区西院追分町２５−１,075-874-6065
洋食西原,京都府京都市右京区嵯峨天龍寺若宮町２１−２,075-872-5020
ドミノ・ピザ 太秦・安井店,京都府京都市右京区太秦安井西沢町１７−１,075-813-5757
めん処 こばやし,京都府京都市右京区嵯峨天龍寺造路町３７−１８,075-873-1033
カフェ・ライブラ,京都府京都市右京区嵯峨天龍寺造路町２０−２３,075-882-5719
カフェ・ライブラ,京都府京都市右京区嵯峨天龍寺造路町２０−２３,075-872-8036
京・嵐山錦,京都府京都市右京区嵯峨嵐山中ノ島公園内,075-871-8888
嵯峨野Ｆａｃｔｏｒｙ,京都府京都市右京区嵯峨天龍寺芒ノ馬場町３−５６,075-882-7778
嵯峨野湯,京都府京都市右京区嵯峨天龍寺今堀町４−３,075-882-8985
アンモモンプーソワ,京都府京都市右京区嵯峨天龍寺立石町１−４,075-873-0100
よし,京都府京都市右京区嵯峨鳥居本仏餉田町２２−１,075-872-7030
ＭＯＭＩＣＡＦＥ,京都府京都市右京区嵯峨二尊院門前北中院町１５,075-882-6982
さがの楓カフェ,京都府京都市右京区嵯峨小倉山堂ノ前町２１−８,075-756-7415
永田珈琲店,京都府京都市右京区嵯峨広沢南下馬野町２０−１,075-863-0111
茶房さがの,京都府京都市右京区嵯峨二尊院門前善光寺山町２１,075-861-2691
とも盛,京都府京都市右京区嵯峨広沢南野町１１−３０,075-872-6783
鴨菊,京都府京都市右京区太秦安井二条裏町２０−６,075-841-0202
ビストロ・モンポット,京都府京都市右京区嵯峨天龍寺瀬戸川町１４−１３,075-862-0022
丸武河合,京都府京都市右京区京北細野町下ノ本５−３,075-852-1155
山陵汀,京都府京都市右京区京北井戸町上台１１,075-853-0300
レストランけいほく,京都府京都市右京区京北下中町町田１５−２,075-854-0030
カモノセキャビン,京都府京都市右京区京北上弓削町鴨瀬６−１,075-854-0822
イクス（ｅＸ）ｃａｆｅ嵐山本店,京都府京都市右京区嵯峨天龍寺造路町３５−３,075-882-6366
まめものとたい焼き 嵐山本店,京都府京都市右京区嵯峨天龍寺芒ノ馬場町４０−８,075-354-6166
カフェ ド サラン （ｃａｆｅ ｄｅ ｓａｌａｎ）,京都府京都市右京区嵯峨天龍寺造路町３７−８,075-871-0170
小倉茶店四季庵,京都府京都市右京区嵯峨二尊院門前長神町２７,075-862-6122
嵐湯,京都府京都市右京区嵯峨天龍寺造路町３５−４０,075-406-0010
小倉山ちゃみせ京ひみこ,京都府京都市右京区嵯峨小倉山堂ノ前町２４−１０,075-882-2577
ＴＥＡＲＯＯＭＫＩＫＩ 京都・嵐山本店,京都府京都市右京区嵯峨天龍寺車道町１−１,075-432-7385
京蕪庵,京都府京都市右京区京北下中町町田１５−２,075-854-0301
がんば,京都府京都市右京区西京極徳大寺団子田町２３−１１,075-313-5908
蛙の駅,京都府京都市右京区京北灰屋町由里ノ下６,075-856-0088
三吉酒場＆おもさんの屋台うしっしぃー,京都府京都市右京区太秦多藪町１９−８,075-468-3089
ラウンジ・ソワール,京都府京都市右京区太秦多藪町１−１２,075-861-6166
喫茶・萩,京都府京都市右京区太秦多藪町１５−２４,075-861-9244
きくち亭,京都府京都市右京区京北周山町下太田１７−４,075-852-1034
さかあがり,京都府京都市右京区嵯峨釈迦堂門前南中院町１７−２,075-634-6341
カフェガーデンパパスキッチン,京都府京都市右京区京北周山町宮ノ下５−１,075-855-0019
プチトマト,京都府京都市山科区 大宅沢町95,075-501-3666
渋屋本店,京都府京都市山科区椥辻東潰27-1,075-502-8678
あぶり 渋屋,京都府京都市山科区竹鼻竹ノ街道町45,075-574-7888
串焼き居酒屋 青天家（ハレルヤ）,京都府京都市山科区竹鼻竹ノ街道町76,075-591-1100
にぎり長次郎 外環山科店,京都府京都市山科区大宅烏田町15,075-583-6455
松のや 椥辻店,京都府京都市山科区椥辻東潰34-2,075-582-8090
fine dining 山科,京都府京都市山科区安朱桟敷町23,075-502-1111
餃子の王将 椥ノ辻店,京都府京都市山科区椥辻草海道町12,075-593-8080
寿司 いなせや,京都府京都市山科区上野御所ノ内町6,075-582-0505
ほっともっと 山科勧修寺店,京都府京都市山科区勧修寺閑林寺203,075-575-3176
千度,京都府京都市山科区 勧修寺縄手町10,075-574-1700
ぶんぶん,京都府京都市山科区 東野舞台町90,075-581-7933
田奈可,京都府京都市山科区 御陵鳥ノ向町21,075-591-0691
京舞子,京都府京都市山科区 川田前畑町1,075-502-5998
たびびと,京都府京都市山科区 勧修寺西金ケ崎213,075-593-6191
カレーライスの得正 山科店,京都府京都市山科区 安朱南屋敷町26,075-502-3399
めんめん 五条店,京都府京都市山科区 北花山大林町50,075-502-1551
わらびの里 料亭,京都府京都市山科区 小山中島町28,075-591-0911
栄寿司,京都府京都市山科区 御陵中内町3,075-581-2050
びっくりドンキー 山科店,京都府京都市山科区 大塚森町11-10,075-583-2364
アポイント,京都府京都市山科区 大宅神納町13,075-573-1872
K2,京都府京都市山科区 西野山中鳥井町149,075-581-4733
ニシムラ,京都府京都市山科区 勧修寺平田町97,075-501-4680
のえる,京都府京都市山科区 大宅中小路町9,075-593-8584
ペック,京都府京都市山科区 竹鼻扇町5-6,075-591-6224
月心寺,京都府滋賀県大津市 大谷町27-9,077-524-3421
江戸前寿司 一休寿し,京都府京都市山科区 勧修寺風呂尻町142,075-573-5070
そば 寿し 花しん,京都府京都市山科区 椥辻平田町224,075-606-6633
べんがら,京都府京都市山科区 竹鼻竹ノ街道町73,075-502-5550
わい亭,京都府京都市山科区 大塚中溝90,075-582-2134
カラオケ居酒屋 てっちゃん,京都府京都市山科区 勧修寺東堂田町124,075-591-5524
Regalo,京都府京都市山科区 御陵進藤町13,075-203-2833
SOMEWHAT BAR,京都府京都市山科区 御陵大津畑町32,075-595-5358
大衆酒場 おりべ,京都府京都市山科区 東野舞台町54,075-595-1260
すずらん,京都府京都市山科区 大宅細田町95,075-501-2889
カルネリア再會,京都府京都市山科区 西野山射庭ノ上町67,075-591-0591
炎の池,京都府京都市山科区 竹鼻竹ノ街道町43,075-593-9171
韓国家庭料理 梁,京都府京都市山科区 大宅細田町90,075-501-6526
北隣館 Cafe Green,京都府京都市山科区 大宅五反畑町8,075-585-3671
お好み焼き 鉄板焼き きじ,京都府京都市山科区 竹鼻竹ノ街道町73,075-592-5703
弁慶,京都府京都市山科区 勧修寺西北出町47,075-594-0510
さんだいや八〇酒場,京都府京都市山科区 西野今屋敷町85,075-644-6489
マールブランシュ ロマンの森,京都府京都市山科区 大塚北溝町30,075-581-8787
もつ鍋 亀八 山科店,京都府京都市山科区竹鼻竹ノ街道町65-1,075-581-7222
手しごとお料理 いってつ,京都府京都市山科区東野狐藪町1-24,075-595-2330
松屋 山科店,京都府京都市山科区安朱中小路町3-2,075-584-4438
ニューコクバル 山科店,京都府京都市山科区竹鼻竹ノ街道町65-1,075-501-8428
肉重つづみ,京都府京都市山科区栗栖野打越町32-5,075-502-1700
テッパン焼 ぼすＧ,京都府京都市山科区西野山中臣町26-100,075-593-5318
無添くら寿司 山科店,京都府京都市山科区西野小柳町11-2,075-584-1120
日本style パスタ＆甘味 ゆる音家,京都府京都市山科区竹鼻竹ノ街道町77-1,075-502-5133
熟成豚かわむら,京都府京都市山科区竹鼻西ノ口町57-1,075-595-0295
ファルファッレ,京都府京都市山科区音羽野田町1-6,075-501-5556
山科食堂,京都府京都市山科区竹鼻地蔵寺南町2-1,075-286-3400
焼肉 のんき,京都府京都市山科区音羽野田町27-4,075-592-0867
餃子の王将 京都東インター店,京都府京都市山科区東野北井ノ上町6-17,075-582-1966
餃子の王将 山科駅前店,京都府京都市山科区安朱南屋敷町27-2,075-591-1361
やきやきや 山科別館,京都府京都市山科区竹鼻竹ノ街道町65-1,075-591-5353
中尾,京都府京都市山科区御陵下御廟野町20-3,075-582-1352
丸亀製麺 京都東インター店,京都府京都市山科区小山中ノ川町13-4,075-592-1801
インド料理 RAJU 山科本店,京都府京都市山科区 四ノ宮神田町1-1,075-593-0366
博多っ子,京都府京都市山科区 音羽前田町52-12,075-592-3534
北海道料理 臣,京都府京都市山科区 西野今屋敷町65-8,075-592-0488
あづまや,京都府京都市山科区 四ノ宮大将軍町14-2,075-501-2223
キよし,京都府京都市山科区 御陵上御廟野町10-7,075-581-6659
お食事処 和,京都府京都市山科区 西野大鳥井町78-3,075-592-8005
より道,京都府京都市山科区 御陵上御廟野町10-1,075-501-0201
文文,京都府京都市山科区 大宅古海道町26-2,075-501-5552
やなぎ,京都府京都市山科区 西野櫃川町72-24,075-592-7941
あらき,京都府京都市山科区 北花山中道町35-8,075-581-8404
玄海,京都府京都市山科区 西野山桜ノ馬場町165-3,075-591-8778
居酒屋いごっそう,京都府京都市山科区 大宅五反畑町2-1,075-581-8205
おふくろ,京都府京都市山科区 西野大鳥井町19-3,075-501-1608
どんたく,京都府京都市山科区 西野大手先町1-12,075-591-4089
沖縄料理居酒屋 よいどころ,京都府京都市山科区 安朱中溝町8-11,075-595-6136
あじゅ,京都府京都市山科区 小野鐘付田町8-1,075-571-4985
京都山科 炭火焼肉の姜家,京都府京都市山科区 東野舞台町39-1,075-592-8058
幸楽,京都府京都市山科区 大宅桟敷2-57,075-593-7367
しょうき,京都府京都市山科区 西野山中鳥井町97-4,075-581-8822
焼肉 アンニョン,京都府京都市山科区 大宅打明町8-4,075-595-2941
焼肉晋州 山科川田店,京都府京都市山科区 西野楳本町48-4,075-591-9720
焼き肉の栄大,京都府京都市山科区 厨子奥尾上町14-109,075-501-2915
焼き肉百珍,京都府京都市山科区 小野西浦62-3,075-572-6756
みやこ食堂,京都府京都市山科区 東野八代2-7,075-591-7159
うどん村,京都府京都市山科区 西野山射庭ノ上町24-9,075-594-7836
大也鮨,京都府京都市山科区 竹鼻地蔵寺南町3-1,075-592-5507
鶴喜そば 山科店,京都府京都市山科区 小山北溝町1-1,075-581-3104
バラ亭,京都府京都市山科区 東野南井ノ上町1-19,075-581-6794
丸福うどん,京都府京都市山科区 竹鼻四丁野町23-12,075-501-3648
そば処 勧修鍋みつる庵,京都府京都市山科区 勧修寺東栗栖野町87-11,075-581-9007
よね久,京都府京都市山科区 西野大鳥井町23-45,075-594-3519
京味 あら川,京都府京都市山科区 栗栖野華ノ木町22-4,075-595-1116
やま竹,京都府京都市山科区 竹鼻竹ノ街道町8-18,075-584-5516
水月 山科店,京都府京都市山科区 音羽野田町27-5,075-591-1740
寿司 西仁,京都府京都市山科区 四ノ宮岩久保町1-15,075-581-1090
お食事処 初美,京都府京都市山科区 安朱中小路町4-2,075-581-4111
美松寿司,京都府京都市山科区 椥辻草海道町38-24,075-581-3261
ステーキハウス やまと,京都府京都市山科区 厨子奥尾上町14-152,075-581-7078
佳園,京都府京都市山科区 西野今屋敷町24-7,075-595-8601
珉珉 山科,京都府京都市山科区 安朱北屋敷町18-2,075-593-8146
瑞秦,京都府京都市山科区 椥辻西浦町38-9,075-591-5595
楓林,京都府京都市山科区 大宅古海道町67-14,075-581-1140
味楽,京都府京都市山科区 大宅辻脇町11-8,075-592-4794
龍宝,京都府京都市山科区 川田御輿塚町15-3,075-593-4997
シバキ （Si ba ki）,京都府京都市山科区 小山一石畑1-3,075-594-5990
キッチン木の芽,京都府京都市山科区 椥辻草海道町36-64,075-581-1516
そば処 鍋物 木曽路,京都府京都市山科区 椥辻封シ川町8-12,075-502-2726
グリルやまもと,京都府京都市山科区 西野岸ノ下町1-26,075-593-0054
プロント,京都府京都市山科区 西野櫃川町58-12,075-595-1283
うっちゃん,京都府京都市山科区 大塚元屋敷町6-1,075-501-0671
来来亭 山科新十条店,京都府京都市山科区 西野山中鳥井町60-1,075-501-1209
Smile Kitchen Jiku,京都府京都市山科区 椥辻草海道町38-8,075-581-7347
ここ家,京都府京都市山科区 椥辻草海道町38-9,075-593-8655
スシロー 山科店,京都府京都市山科区 西野離宮町12-2,075-582-8746
天邑,京都府京都市山科区 北花山大林町15-3,075-581-8656
居酒屋ぴーす,京都府京都市山科区 東野舞台町54-2,075-591-9920
柳生亭,京都府京都市山科区 川田土仏5,075-581-0298
やきとり大吉 なぎ辻店,京都府京都市山科区 椥辻草海道町7-4,075-591-4388
炭火串焼弘,京都府京都市山科区 厨子奥若林町1-63,075-592-8909
エルボ,京都府京都市山科区 厨子奥若林町50-2,075-592-5078
からふね屋珈琲店 山科店,京都府京都市山科区 東野北井ノ上町11-10,075-502-6866
珈琲庭,京都府京都市山科区 御陵久保町70-3,075-595-2116
サン ジェルマン,京都府京都市山科区 椥辻草海道町10-1,075-592-4566
芝生,京都府京都市山科区 勧修寺泉玉町82,075-593-8684
パピヨン,京都府京都市山科区 西野八幡田町28-9,075-593-8479
京都船越 西野店,京都府京都市山科区 西野今屋敷町83-2,075-593-2731
マサ,京都府京都市山科区 大塚元屋敷町6-2,075-501-4547
マリ亜ンヌ,京都府京都市山科区 椥辻池尻町32-4,075-592-0854
Cozy House,京都府京都市山科区 竹鼻地蔵寺南町39-2,075-592-4555
ホッシー君,京都府京都市山科区 西野八幡田町33-8,075-501-7182
さぬき庵,京都府京都市山科区 西野大鳥井町50-10,075-591-9533
蘭,京都府京都市山科区 竹鼻竹ノ街道町58-6,075-595-9161
和ダイニング一旦,京都府京都市山科区 小野西浦町68-20,075-572-8266
かめちゃん,京都府京都市山科区 竹鼻四丁野町23-14,075-581-7901
とら家,京都府京都市山科区 川田菱尾田17-98,075-595-5172
立ち呑屋 也,京都府京都市山科区 竹鼻竹ノ街道町49-1,075-502-8114
たこ焼 あほや 東野店,京都府京都市山科区 竹鼻堂ノ前町46-9,075-582-3327
串かつ家 まねき串,京都府京都市山科区 椥辻草海道町6-7,075-582-2662
千成餅食堂 山科店,京都府京都市山科区 竹鼻竹ノ街道町35-18,075-581-9240
ガルーダコーヒー,京都府京都市山科区 御陵別所町11-11,075-202-6228
おおみ寿司,京都府京都市山科区 大宅辻脇町37-38,075-593-0571
喫茶 アベニュー,京都府京都市山科区 小山北溝町45-15,075-501-9360
TSUBAKI,京都府京都市山科区 西野野色町15-88,075-595-6511
お食事処わたなべ,京都府京都市山科区 東野森野町2-10,075-582-6456
韓丼 山科店,京都府京都市山科区 西野楳本町110-6,075-748-8287
天ぷらや 笑人,京都府京都市山科区 日ノ岡鴨土町43-14,075-595-6570
河冨久,京都府京都市山科区 勧修寺柴山15-38,075-502-2990
ビストロ コルシーニ,京都府京都市山科区 東野北井ノ上町2-19,075-204-3084
なかがわ家,京都府京都市山科区 東野百拍子町25-14,075-632-8331
赤ツキ,京都府京都市山科区 西野山射庭ノ上町262-2,075-748-7499
お好み焼・鉄板焼きん太 山科椥辻店,京都府京都市山科区 椥辻東潰26,075-583-6655
串勝 六角屋,京都府京都市山科区 竹鼻竹ノ街道町77-1,075-593-7033
和牛処 四ノ宮 鈴や,京都府京都市山科区 四ノ宮神田町42-33,075-581-5898
料理処 長島,京都府京都市山科区 安朱馬場ノ西町20-1,075-581-3741
中央斎場フードコート 花山,京都府京都市山科区 上花山旭山町19-3,075-561-4251
たかばしラーメン 京都東インター店,京都府京都市山科区 大塚野溝町86-61,075-748-7789
ピッツァ パスチーボ,京都府京都市山科区 北花山横田町16-4,075-595-3547
はまや,京都府京都市山科区 西野楳本町55-5,075-502-4137
CAFE HATCH,京都府京都市山科区 竹鼻西ノ口町35-5,075-591-1969
天,京都府京都市山科区 西野左義長町6-1,075-582-3947
お好み焼 ひらい 山科店,京都府京都市山科区 小山中ノ川町50-8,075-591-5839
霞中庵 音和そば,京都府京都市山科区 小山中島町40-1,075-594-0031
鉄板焼 りょう,京都府京都市山科区 勧修寺西栗栖野町236-2,075-595-1258
ごえもん,京都府京都市山科区 椥辻東潰32-4,075-594-3120
カフェとも,京都府京都市山科区 川田土仏13-4,075-593-3723
九良右ェ門,京都府京都市山科区 椥辻東潰6-2,075-502-5514
浜風屋台 防波亭,京都府京都市山科区 竹鼻竹ノ街道町43 1F,075-595-0055
ラーメン魁力屋 山科小野店,京都府京都市山科区 小野蚊ケ瀬町60-1,075-574-7609
Lion CAFE,京都府京都市山科区竹鼻竹ノ街道町74 アースビル3F,075-606-1710
屋上バーベキューガーデン 山テラス,京都府京都市山科区竹鼻竹ノ街道町74 アースビル3F,075-606-1710
ポムの樹 山科ラクト店,京都府京都市山科区 竹鼻竹ノ街道町91 ラクト4F,075-583-3525
すえひろ亭,京都府京都市山科区 東野門口町13-1 山科ハイツ,075-595-9188
Woo,京都府京都市山科区 東野門口町13-1 山科ハイツ,075-592-0129
鳥響,京都府京都市山科区 西野山射庭ノ上町34-1 1F,075-581-7234
かぽり,京都府京都市山科区 大宅御供田町7 ローズハイム102,075-595-1064
あかりばさん,京都府京都市山科区 西野山射庭ノ上町163-5 1F,075-202-2262
海鮮バル 魚晴,京都府京都市山科区 竹鼻竹ノ街道町74 アースビル1F,075-582-5088
うえだ,京都府京都市山科区 四ノ宮神田町36-1 F‐B,075-595-8448
担担麺胡,京都府京都市山科区 竹鼻竹ノ街道町74 アースビル 1F,075-591-6556
タルタルクラブ,京都府京都市山科区 東野中井ノ上町11-30 1F,075-606-6020
スターバックスコーヒー 山科駅前店,京都府京都市山科区 安朱中小路町5 山科駅NKビル,075-582-6811
焼鳥 かなざわ,京都府京都市山科区 安朱北屋敷町12 エスタシオン・デ・山科1F,075-581-4700
カラオケ居酒屋和,京都府京都市山科区 四ノ宮神田町36 砂崎ビル1F,075-582-3063
レストラン シャルボン,京都府京都市山科区 音羽野田町15-3 ファーストビル1F,075-582-9870
ヨツノトキ,京都府京都市山科区 竹鼻竹ノ街道町56 エクセレント山科1F,075-644-9422
洋風居酒屋 ふなごや,京都府京都市山科区御陵鳥ノ向町37-3 パレみささぎ佐わらび,075-595-7227
若狭湾天然活魚料理 大将,京都府京都市山科区勧修寺東出町43 ニュープラザ小野1F,075-571-2804
Bistro bar あずき,京都府京都市山科区竹鼻竹街道町65 菊ビル1F,075-502-5511
bar らくざ,京都府京都市山科区竹鼻竹ノ街道町50-7 サンクチュアリ山科1F,075-595-1199
フジケンラーメン,京都府京都市山科区西野山射庭ノ上町34-1 第二ふもとビル,075-600-9390
焼肉・ホルモンいち,京都府京都市山科区東野門口町26-5 MZヴィエラ1F,075-582-2919
鰻の成瀬 京都山科店,京都府京都市山科区竹鼻竹ノ街道町65-1 フォレスト山科 1F,075-502-2468
とみ寿司 山科店,京都府京都市山科区 東野門口町13-1 山科ハイツ1F,075-593-8248
お好み焼き・焼きそば 鶴橋風月 山科店,京都府京都市山科区 竹鼻竹ノ街道町91 ラクトB棟4F,075-583-4141
海月,京都府京都市山科区 御陵大津畑町32-5 トゥモール山科1F,075-201-1606
you房,京都府京都市山科区 川田岡ノ西1-7 レオ松本1F,075-632-8796
居酒屋 ひがも,京都府京都市山科区 椥辻草海道町10-1 シャレー山科1F,075-593-6675
カフェレストラン ココット,京都府京都市山科区 日ノ岡鴨土町43-10 光陽ビル1F,075-593-8124
カフェ＆ランチ キントト,京都府京都市山科区 西野山射庭ノ上町284-1 ふもとビル1F,075-585-1104
Sobremesa,京都府京都市山科区 竹鼻竹ノ街道町11-4 石田ビル 1F,075-600-9150
CAFE SARRIA 山科店,京都府京都市山科区 音羽野田町15-3 大栄ファーストビル1F,075-582-5025
健美工房 パーソナルジム＆キッチン,京都府京都市山科区 安朱中小路町5-9 スワン山科ビル3F,075-592-7117
サイゼリヤ イオンタウン山科椥辻店,京都府京都市山科区椥辻草海道町15-1 イオンタウン山科椥辻2F,075-582-5561
モスバーガーマツヤスーパー山科三条店,京都府京都市山科区 竹鼻地蔵寺南町9-1 マツヤスーパー山科三条店内,075-594-8476
COFFEE SHOP つくし,京都府京都市山科区 椥辻西浦町1-8 京都市東部文化会館1F,075-502-1012
マクドナルド山科西友店,京都府京都市山科区音羽野田町１,075-583-2581
なか卯醍醐店,京都府京都市山科区小野西浦２１-１,0120-29-5770
ジョリーパスタ山科店,京都府京都市山科区大宅御供田町２４５,075-501-1334
ガスト京都山科店,京都府京都市山科区音羽山等地４７,0570-01-1522
吉野家１号線山科店,京都府京都市山科区大塚森町１１-３,075-583-2556
マクドナルド１号線山科店,京都府京都市山科区小山南溝町２-１,075-501-8280
マクドナルド山科椥辻店,京都府京都市山科区椥辻草海道町１４-１,075-583-3001
カレーハウスＣｏＣｏ壱番屋山科小野店,京都府京都市山科区小野蚊ケ瀬町６５,075-574-2737
ミスタードーナツイオンタウン山科椥辻ショップ,京都府京都市山科区椥辻草海道町１５-１,075-594-8001
ドトールキッチンＥｎｅＪｅｔ京都東インター店,京都府京都市山科区音羽山等地４０-２,075-574-7907
ロイヤルホスト山科西野店,京都府京都市山科区西野山階町２５-５,075-502-8011
中華そば専門店天下一品山科店,京都府京都市山科区御陵中内町３８-６５,075-582-5858
マクドナルド外環勧修寺店,京都府京都市山科区勧修寺閑林寺９０-１,075-571-0280
くら寿司山科店,京都府京都市山科区西野小柳町１１-２,075-584-1120
はま寿司山科椥辻店,京都府京都市山科区椥辻東浦町５５番地,0570-02-0574
なか卯山科三条通店,京都府京都市山科区竹鼻竹ノ街道町３４-５ドエル竹鼻,0120-29-5770
ケンタッキーフライドチキンＲ１山科店,京都府京都市山科区西野広見町３２-２マリーベルウィング１階,075-583-2193
松屋山科店,京都府京都市山科区安朱中小路町３-２　１Ｆ・２Ｆ,080-9021-6676
ピザハット Ｒ１山科店,京都府京都市山科区椥辻東潰１,075-594-5300
渋屋 山科店,京都府京都市山科区竹鼻竹ノ街道町４３,075-574-7888
ＭＡＨＯＲＯＢＡ,京都府京都市山科区勧修寺西金ケ崎３３４,075-502-8033
カラオケ・ポッポ,京都府京都市山科区東野八代１−７４,075-592-4644
喫茶のえる,京都府京都市山科区大宅中小路町９,075-593-8584
オリジンデリカ イオンフードスタイル山科椥辻店,京都府京都市山科区椥辻草海道町１５,075-634-8465
ベビーフェイスプラネッツ,京都府京都市山科区椥辻草海道町１５,075-748-6388
ごはん屋山科店,京都府京都市山科区御陵進藤町１９,075-748-6908
ＪＧＲＡＳＳ．ＣＡＦＥＥ,京都府京都市山科区小野西浦６８−２０,075-777-7106
あうん・優食ダイニング,京都府京都市山科区勧修寺西北出町２３,075-593-1660
Ｋ２,京都府京都市山科区西野山中鳥井町１４９,075-581-4733
いろは寿司,京都府京都市山科区大宅関生町１２５,075-581-1149
ニュー錦,京都府京都市山科区椥辻草海道町７,075-593-8558
なぎはん,京都府京都市山科区椥辻草海道町３８,075-593-7938
ナイトルームキャナル,京都府京都市山科区勧修寺西北出町２３,075-595-5007
ほっかほっか亭 四ノ宮店,京都府京都市山科区四ノ宮神田町１９,075-592-0320
レストランピーターグース,京都府京都市山科区音羽野田町１,075-501-3180
スナックキャビン,京都府京都市山科区小野西浦３１−３０,075-573-0147
らうんじ穂,京都府京都市山科区四ノ宮神田町３６,075-582-7708
すし秀,京都府京都市山科区竹鼻西ノ口町２,075-593-2351
スナック・ロード,京都府京都市山科区椥辻草海道町９,075-501-4643
一休寿し 勧修寺店,京都府京都市山科区勧修寺風呂尻町１４２,075-573-5070
もず,京都府京都市山科区音羽沢町１０−４,075-501-4012
フォンテーヌ,京都府京都市山科区東野百拍子町１８,075-591-8439
ダイニングパブおりべ,京都府京都市山科区大宅御供田町６,075-502-6101
天檀山科店,京都府京都市山科区大宅烏田町１２,075-501-4129
有限会社大将,京都府京都市山科区勧修寺東出町４３,075-571-2804
太陽,京都府京都市山科区西野大鳥井町１００−１７３,075-644-7227
洋食屋・ばんぶー,京都府京都市山科区東野舞台町７５−１６,075-606-2591
株式会社パスチーボ,京都府京都市山科区北花山横田町１６−４,075-595-3547
きく・いただき,京都府京都市山科区東野中井ノ上町２０−１０,075-502-3444
花ｉｃｈｉ 山科店,京都府京都市山科区竹鼻竹ノ街道町６５−１,075-501-8428
炭火焼き牛たん・つづみ,京都府京都市山科区栗栖野打越町３２−５,075-502-1700
さか喜,京都府京都市山科区西野山百々町２２７−５８,075-592-6565
ＲＵＮ,京都府京都市山科区西野山百々町１４４−１,075-574-7575
さかな料理 遊山,京都府京都市山科区御陵大津畑町３３−１,075-584-1151
志摩,京都府京都市山科区西野様子見町１−９,075-606-1338
新福菜館 山科店,京都府京都市山科区竹鼻西ノ口町５７−２,075-555-1107
ディッパーダンイオンタウン山科 椥辻店,京都府京都市山科区椥辻草海道町１５−１,075-574-7721
関西産業株式会社,京都府京都市山科区西野左義長町６−１,075-595-7771
鶏笑 山科小野店,京都府京都市山科区勧修寺東出町３０−１,075-757-3136
ＨＡＹＡＳＨＩＣＯＦＦＥＥＲＯＡＳＴＥＲＹ,京都府京都市山科区東野舞台町１２−１,075-501-3719
櫻,京都府京都市山科区椥辻中在家町２８−２８３,075-582-2002
楽酔家,京都府京都市山科区川田菱尾田１７−５０,075-501-4939
楽酔家,京都府京都市山科区川田菱尾田１７−５０,075-501-9611
株式会社王将フードサービス本社,京都府京都市山科区西野山射庭ノ上町２９４−１,075-592-1411
山よし,京都府京都市山科区日ノ岡一切経谷町６−１０,075-771-3633
ハレム,京都府京都市山科区北花山大林町９１−１,075-593-8275
西仁,京都府京都市山科区四ノ宮岩久保町１−１５,075-581-1090
千賀子,京都府京都市山科区椥辻草海道町３８−１３,075-593-9600
再会,京都府京都市山科区西野山射庭ノ上町６７−１１,075-591-0591
スナック母さん,京都府京都市山科区御陵久保町５２−１１,075-581-3402
みつる庵,京都府京都市山科区勧修寺東栗栖野町８７−１１,075-581-9007
アミー,京都府京都市山科区川田菱尾田１７−４８,075-593-8490
プルミエ,京都府京都市山科区椥辻草海道町１−６,075-581-5853
本家かまどや 山科新十条店,京都府京都市山科区栗栖野華ノ木町２２−１,075-591-9766
ほっかほっか亭 山科東野店,京都府京都市山科区東野八反畑町２１−４０,075-501-3085
田和,京都府京都市山科区東野舞台町７４−１４,075-502-3268
雅の里,京都府京都市山科区東野舞台町２９−６,075-593-7947
ラウンジ・スタジオ・キミ,京都府京都市山科区川田御出町２１−４,075-593-9006
よいどころ,京都府京都市山科区安朱中溝町８−１１,075-595-6136
プロムナード,京都府京都市山科区東野森野町２−５２,075-595-6996
ＭＡＫＯ,京都府京都市山科区音羽草田町４３−１８,075-591-9247
藤崎奈々子は豚骨ラーメン山科西野店,京都府京都市山科区西野楳本町１１０－６,075-581-2000
餃子の王将 花山店,京都府京都市山科区北花山中道町６１−３４,075-591-6960
シャルボン,京都府京都市山科区音羽野田町１５−３,075-582-9870
希,京都府京都市山科区椥辻池尻町１１−２,075-595-0255
ゆる音家,京都府京都市山科区竹鼻竹ノ街道町７７−１,075-502-5133
中国料理龍宝,京都府京都市山科区川田御輿塚町１５−３,075-593-4997
九十九,京都府京都市山科区椥辻草海道町３８−９,075-592-9581
仲間達のスポット,京都府京都市山科区西野大鳥井町１−４,075-595-1001
木曽路,京都府京都市山科区椥辻封シ川町８−１２,075-502-2726
生粋,京都府京都市山科区竹鼻外田町８−１０５,075-502-4446
